iter	Passed	Remaining
0	1	67
1	1	47
2	3	49
3	4	49
4	4	43
5	5	43
6	7	43
7	8	43
8	8	39
9	9	39
10	11	39
11	12	38
12	13	38
13	14	37
14	15	36
15	16	35
16	18	35
17	19	34
18	20	33
19	22	33
20	22	31
21	23	29
22	23	27
23	25	27
24	26	26
25	27	25
26	28	24
27	29	23
28	31	22
29	32	21
30	33	20
31	34	19
32	35	18
33	36	17
34	38	16
35	39	15
36	41	14
37	42	13
38	44	12
39	45	11
40	46	10
41	48	9
42	49	8
43	51	6
44	52	5
45	53	4
46	54	3
47	55	2
48	57	1
49	58	0
